1,홍길동,54,65,89,208,69.33333333,1
2,유관순,79,97,81,257,85.66666667,1
3,이순신,62,63,53,178,59.33333333,1
4,강감찬,96,84,91,271,90.33333333,1
5,김구,88,96,94,278,92.66666667,1
6,김유신,73,65,56,194,64.66666667,1
7,홍길자,88,75,92,255,85,1
8,홍길순,99,59,78,236,78.66666667,1
9,ddungay8,90,62,69,221,73.66666667,1
10,siwanowski9,92,100,69,261,87,1
11,ktaggertya,97,68,51,216,72,1
12,gblandenb,97,88,87,272,90.66666667,1
13,maizikovitzc,68,53,61,182,60.66666667,1
14,mbeddied,69,81,83,233,77.66666667,1
15,aklassmane,67,51,68,186,62,1
16,asileyf,76,90,68,234,78,1
17,lconnerryg,76,64,67,207,69,1
18,esterrickerh,67,86,74,227,75.66666667,1
19,ushelleyi,100,54,50,204,68,1
20,vciccettij,51,100,99,250,83.33333333,1
